Questions,Acceptance Rate,Difficulty,Links
1380. Lucky Numbers in a Matrix,70.60%,Easy,https://leetcode.com/problems/lucky-numbers-in-a-matrix/
1381. Design a Stack With Increment Operation,77.10%,Medium,https://leetcode.com/problems/design-a-stack-with-increment-operation/
1382. Balance a Binary Search Tree,80.70%,Medium,https://leetcode.com/problems/balance-a-binary-search-tree/
1383. Maximum Performance of a Team,48.40%,Hard,https://leetcode.com/problems/maximum-performance-of-a-team/
1384. Total Sales Amount by Year,64.30%,Hard,https://leetcode.com/problems/total-sales-amount-by-year/
1385. Find the Distance Value Between Two Arrays,66.80%,Easy,https://leetcode.com/problems/find-the-distance-value-between-two-arrays/
1386. Cinema Seat Allocation,41.00%,Medium,https://leetcode.com/problems/cinema-seat-allocation/
1387. Sort Integers by The Power Value,70.10%,Medium,https://leetcode.com/problems/sort-integers-by-the-power-value/
1388. Pizza With 3n Slices,50.30%,Hard,https://leetcode.com/problems/pizza-with-3n-slices/
1389. Create Target Array in the Given Order,85.80%,Easy,https://leetcode.com/problems/create-target-array-in-the-given-order/
1390. Four Divisors,41.20%,Medium,https://leetcode.com/problems/four-divisors/
1391. Check if There is a Valid Path in a Grid,47.40%,Medium,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid/
1392. Longest Happy Prefix,44.80%,Hard,https://leetcode.com/problems/longest-happy-prefix/
1393. Capital Gain/Loss,86.70%,Medium,https://leetcode.com/problems/capital-gainloss/
1394. Find Lucky Integer in an Array,64.80%,Easy,https://leetcode.com/problems/find-lucky-integer-in-an-array/
1395. Count Number of Teams,66.90%,Medium,https://leetcode.com/problems/count-number-of-teams/
1396. Design Underground System,73.50%,Medium,https://leetcode.com/problems/design-underground-system/
1397. Find All Good Strings,42.20%,Hard,https://leetcode.com/problems/find-all-good-strings/
1398. Customers Who Bought Products A and B but Not C,75.00%,Medium,https://leetcode.com/problems/customers-who-bought-products-a-and-b-but-not-c/
1399. Count Largest Group,66.80%,Easy,https://leetcode.com/problems/count-largest-group/
1400. Construct K Palindrome Strings,62.70%,Medium,https://leetcode.com/problems/construct-k-palindrome-strings/
1401. Circle and Rectangle Overlapping,44.00%,Medium,https://leetcode.com/problems/circle-and-rectangle-overlapping/
1402. Reducing Dishes,76.80%,Hard,https://leetcode.com/problems/reducing-dishes/
1403. Minimum Subsequence in Non-Increasing Order,72.30%,Easy,https://leetcode.com/problems/minimum-subsequence-in-non-increasing-order/
1404. Number of Steps to Reduce a Number in Binary Representation to One,52.60%,Medium,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one/
1405. Longest Happy String,57.30%,Medium,https://leetcode.com/problems/longest-happy-string/
1406. Stone Game III,59.40%,Hard,https://leetcode.com/problems/stone-game-iii/
1407. Top Travellers,60.40%,Easy,https://leetcode.com/problems/top-travellers/
1408. String Matching in an Array,63.70%,Easy,https://leetcode.com/problems/string-matching-in-an-array/
1409. Queries on a Permutation With Key,83.50%,Medium,https://leetcode.com/problems/queries-on-a-permutation-with-key/
1410. HTML Entity Parser,51.40%,Medium,https://leetcode.com/problems/html-entity-parser/
1411. Number of Ways to Paint N × 3 Grid,62.70%,Hard,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid/
1412. Find the Quiet Students in All Exams,61.60%,Hard,https://leetcode.com/problems/find-the-quiet-students-in-all-exams/
1413. Minimum Value to Get Positive Step by Step Sum,67.10%,Easy,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum/
1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,65.40%,Medium,https://leetcode.com/problems/find-the-minimum-number-of-fibonacci-numbers-whose-sum-is-k/
1415. The k-th Lexicographical String of All Happy Strings of Length n,72.60%,Medium,https://leetcode.com/problems/the-k-th-lexicographical-string-of-all-happy-strings-of-length-n/
1416. Restore The Array,48.90%,Hard,https://leetcode.com/problems/restore-the-array/
1417. Reformat The String,54.40%,Easy,https://leetcode.com/problems/reformat-the-string/
1418. Display Table of Food Orders in a Restaurant,74.10%,Medium,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant/
1419. Minimum Number of Frogs Croaking,50.20%,Medium,https://leetcode.com/problems/minimum-number-of-frogs-croaking/
1420. Build Array Where You Can Find The Maximum Exactly K Comparisons,62.90%,Hard,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/
1421. NPV Queries,83.10%,Easy,https://leetcode.com/problems/npv-queries/
1422. Maximum Score After Splitting a String,58.00%,Easy,https://leetcode.com/problems/maximum-score-after-splitting-a-string/
1423. Maximum Points You Can Obtain from Cards,52.30%,Medium,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/
1424. Diagonal Traverse II,50.50%,Medium,https://leetcode.com/problems/diagonal-traverse-ii/
1425. Constrained Subsequence Sum,47.60%,Hard,https://leetcode.com/problems/constrained-subsequence-sum/
1426. Counting Elements,59.70%,Easy,https://leetcode.com/problems/counting-elements/
1427. Perform String Shifts,54.40%,Easy,https://leetcode.com/problems/perform-string-shifts/
1428. Leftmost Column with at Least a One,53.50%,Medium,https://leetcode.com/problems/leftmost-column-with-at-least-a-one/
1429. First Unique Number,53.00%,Medium,https://leetcode.com/problems/first-unique-number/
1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,46.50%,Medium,https://leetcode.com/problems/check-if-a-string-is-a-valid-sequence-from-root-to-leaves-path-in-a-binary-tree/
1431. Kids With the Greatest Number of Candies,88.00%,Easy,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/
1432. Max Difference You Can Get From Changing an Integer,41.40%,Medium,https://leetcode.com/problems/max-difference-you-can-get-from-changing-an-integer/
1433. Check If a String Can Break Another String,69.00%,Medium,https://leetcode.com/problems/check-if-a-string-can-break-another-string/
1434. Number of Ways to Wear Different Hats to Each Other,43.30%,Hard,https://leetcode.com/problems/number-of-ways-to-wear-different-hats-to-each-other/
1435. Create a Session Bar Chart,76.80%,Easy,https://leetcode.com/problems/create-a-session-bar-chart/
1436. Destination City,77.30%,Easy,https://leetcode.com/problems/destination-city/
1437. Check If All 1's Are at Least Length K Places Away,58.60%,Easy,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away/
1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,48.40%,Medium,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit/
1439. Find the Kth Smallest Sum of a Matrix With Sorted Rows,61.50%,Hard,https://leetcode.com/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows/
1440. Evaluate Boolean Expression,74.40%,Medium,https://leetcode.com/problems/evaluate-boolean-expression/
1441. Build an Array With Stack Operations,72.00%,Medium,https://leetcode.com/problems/build-an-array-with-stack-operations/
1442. Count Triplets That Can Form Two Arrays of Equal XOR,76.20%,Medium,https://leetcode.com/problems/count-triplets-that-can-form-two-arrays-of-equal-xor/
1443. Minimum Time to Collect All Apples in a Tree,62.60%,Medium,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree/
1444. Number of Ways of Cutting a Pizza,63.70%,Hard,https://leetcode.com/problems/number-of-ways-of-cutting-a-pizza/
1445. Apples & Oranges,89.30%,Medium,https://leetcode.com/problems/apples-oranges/
1446. Consecutive Characters,61.00%,Easy,https://leetcode.com/problems/consecutive-characters/
1447. Simplified Fractions,65.30%,Medium,https://leetcode.com/problems/simplified-fractions/
1448. Count Good Nodes in Binary Tree,74.20%,Medium,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
1449. Form Largest Integer With Digits That Add up to Target,47.70%,Hard,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target/
1450. Number of Students Doing Homework at a Given Time,75.80%,Easy,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/
1451. Rearrange Words in a Sentence,63.30%,Medium,https://leetcode.com/problems/rearrange-words-in-a-sentence/
1452. People Whose List of Favorite Companies Is Not a Subset of Another List,56.90%,Medium,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/
1453. Maximum Number of Darts Inside of a Circular Dartboard,36.60%,Hard,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/
1454. Active Users,37.50%,Medium,https://leetcode.com/problems/active-users/
1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.20%,Easy,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/
1456. Maximum Number of Vowels in a Substring of Given Length,59.00%,Medium,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/
1457. Pseudo-Palindromic Paths in a Binary Tree,67.70%,Medium,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/
1458. Max Dot Product of Two Subsequences,46.80%,Hard,https://leetcode.com/problems/max-dot-product-of-two-subsequences/
1459. Rectangles Area,69.00%,Medium,https://leetcode.com/problems/rectangles-area/
1460. Make Two Arrays Equal by Reversing Subarrays,72.00%,Easy,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-subarrays/
1461. Check If a String Contains All Binary Codes of Size K,56.50%,Medium,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/
1462. Course Schedule IV,49.10%,Medium,https://leetcode.com/problems/course-schedule-iv/
1463. Cherry Pickup II,69.50%,Hard,https://leetcode.com/problems/cherry-pickup-ii/
1464. Maximum Product of Two Elements in an Array,80.10%,Easy,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/
1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,40.90%,Medium,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/
1466. Reorder Routes to Make All Paths Lead to the City Zero,66.60%,Medium,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/
1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,60.40%,Hard,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/
1468. Calculate Salaries,80.30%,Medium,https://leetcode.com/problems/calculate-salaries/
1469. Find All The Lonely Nodes,82.30%,Easy,https://leetcode.com/problems/find-all-the-lonely-nodes/
1470. Shuffle the Array,88.80%,Easy,https://leetcode.com/problems/shuffle-the-array/
1471. The k Strongest Values in an Array,60.50%,Medium,https://leetcode.com/problems/the-k-strongest-values-in-an-array/
1472. Design Browser History,78.10%,Medium,https://leetcode.com/problems/design-browser-history/
1473. Paint House III,61.50%,Hard,https://leetcode.com/problems/paint-house-iii/
1474. Delete N Nodes After M Nodes of a Linked List,73.30%,Easy,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/
1475. Final Prices With a Special Discount in a Shop,76.20%,Easy,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/
1476. Subrectangle Queries,88.30%,Medium,https://leetcode.com/problems/subrectangle-queries/
1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,36.70%,Medium,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/
1478. Allocate Mailboxes,55.60%,Hard,https://leetcode.com/problems/allocate-mailboxes/
1479. Sales by Day of the Week,80.30%,Hard,https://leetcode.com/problems/sales-by-day-of-the-week/
1480. Running Sum of 1d Array,87.20%,Easy,https://leetcode.com/problems/running-sum-of-1d-array/
1481. Least Number of Unique Integers after K Removals,55.60%,Medium,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/
1482. Minimum Number of Days to Make m Bouquets,53.80%,Medium,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
1483. Kth Ancestor of a Tree Node,33.80%,Hard,https://leetcode.com/problems/kth-ancestor-of-a-tree-node/
1484. Group Sold Products By The Date,78.50%,Easy,https://leetcode.com/problems/group-sold-products-by-the-date/
1485. Clone Binary Tree With Random Pointer,80.60%,Medium,https://leetcode.com/problems/clone-binary-tree-with-random-pointer/
1486. XOR Operation in an Array,84.80%,Easy,https://leetcode.com/problems/xor-operation-in-an-array/
1487. Making File Names Unique,36.30%,Medium,https://leetcode.com/problems/making-file-names-unique/
1488. Avoid Flood in The City,26.50%,Medium,https://leetcode.com/problems/avoid-flood-in-the-city/
1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,52.60%,Hard,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/
1490. Clone N-ary Tree,83.50%,Medium,https://leetcode.com/problems/clone-n-ary-tree/
1491. Average Salary Excluding the Minimum and Maximum Salary,63.70%,Easy,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary/
1492. The kth Factor of n,63.70%,Medium,https://leetcode.com/problems/the-kth-factor-of-n/
1493. Longest Subarray of 1's After Deleting One Element,60.90%,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/
1494. Parallel Courses II,30.30%,Hard,https://leetcode.com/problems/parallel-courses-ii/
1495. Friendly Movies Streamed Last Month,49.20%,Easy,https://leetcode.com/problems/friendly-movies-streamed-last-month/
1496. Path Crossing,56.00%,Easy,https://leetcode.com/problems/path-crossing/
1497. Check If Array Pairs Are Divisible by k,38.90%,Medium,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k/
1498. Number of Subsequences That Satisfy the Given Sum Condition,44.90%,Medium,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/
1499. Max Value of Equation,45.50%,Hard,https://leetcode.com/problems/max-value-of-equation/
1500. Design a File Sharing System,44.30%,Medium,https://leetcode.com/problems/design-a-file-sharing-system/
1501. Countries You Can Safely Invest In,51.20%,Medium,https://leetcode.com/problems/countries-you-can-safely-invest-in/
1502. Can Make Arithmetic Progression From Sequence,67.60%,Easy,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/
1503. Last Moment Before All Ants Fall Out of a Plank,55.90%,Medium,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank/
1504. Count Submatrices With All Ones,57.40%,Medium,https://leetcode.com/problems/count-submatrices-with-all-ones/
1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,38.40%,Hard,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/
1506. Find Root of N-Ary Tree,78.50%,Medium,https://leetcode.com/problems/find-root-of-n-ary-tree/
1507. Reformat Date,63.40%,Easy,https://leetcode.com/problems/reformat-date/
1508. Range Sum of Sorted Subarray Sums,59.00%,Medium,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/
1509. Minimum Difference Between Largest and Smallest Value in Three Moves,54.60%,Medium,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/
1510. Stone Game IV,60.10%,Hard,https://leetcode.com/problems/stone-game-iv/
1511. Customer Order Frequency,71.00%,Easy,https://leetcode.com/problems/customer-order-frequency/
1512. Number of Good Pairs,88.20%,Easy,https://leetcode.com/problems/number-of-good-pairs/
1513. Number of Substrings With Only 1s,45.40%,Medium,https://leetcode.com/problems/number-of-substrings-with-only-1s/
1514. Path with Maximum Probability,48.90%,Medium,https://leetcode.com/problems/path-with-maximum-probability/
1515. Best Position for a Service Centre,37.30%,Hard,https://leetcode.com/problems/best-position-for-a-service-centre/
1516. Move Sub-Tree of N-Ary Tree,63.30%,Hard,https://leetcode.com/problems/move-sub-tree-of-n-ary-tree/
1517. Find Users With Valid E-Mails,50.80%,Easy,https://leetcode.com/problems/find-users-with-valid-e-mails/
1518. Water Bottles,60.40%,Easy,https://leetcode.com/problems/water-bottles/
1519. Number of Nodes in the Sub-Tree With the Same Label,55.30%,Medium,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/
1520. Maximum Number of Non-Overlapping Substrings,38.00%,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/
1521. Find a Value of a Mysterious Function Closest to Target,43.40%,Hard,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target/
1522. Diameter of N-Ary Tree,73.60%,Medium,https://leetcode.com/problems/diameter-of-n-ary-tree/
1523. Count Odd Numbers in an Interval Range,49.40%,Easy,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/
1524. Number of Sub-arrays With Odd Sum,43.20%,Medium,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/
1525. Number of Good Ways to Split a String,68.80%,Medium,https://leetcode.com/problems/number-of-good-ways-to-split-a-string/
1526. Minimum Number of Increments on Subarrays to Form a Target Array,68.90%,Hard,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/
1527. Patients With a Condition,40.30%,Easy,https://leetcode.com/problems/patients-with-a-condition/
1528. Shuffle String,85.00%,Easy,https://leetcode.com/problems/shuffle-string/
1529. Minimum Suffix Flips,72.60%,Medium,https://leetcode.com/problems/minimum-suffix-flips/
1530. Number of Good Leaf Nodes Pairs,61.20%,Medium,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/
1531. String Compression II,49.40%,Hard,https://leetcode.com/problems/string-compression-ii/
1532. The Most Recent Three Orders,69.50%,Medium,https://leetcode.com/problems/the-most-recent-three-orders/
1533. Find the Index of the Large Integer,56.10%,Medium,https://leetcode.com/problems/find-the-index-of-the-large-integer/
1534. Count Good Triplets,80.90%,Easy,https://leetcode.com/problems/count-good-triplets/
1535. Find the Winner of an Array Game,48.50%,Medium,https://leetcode.com/problems/find-the-winner-of-an-array-game/
1536. Minimum Swaps to Arrange a Binary Grid,46.40%,Medium,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/
1537. Get the Maximum Score,39.30%,Hard,https://leetcode.com/problems/get-the-maximum-score/
1538. Guess the Majority in a Hidden Array,71.10%,Medium,https://leetcode.com/problems/guess-the-majority-in-a-hidden-array/
1539. Kth Missing Positive Number,58.60%,Easy,https://leetcode.com/problems/kth-missing-positive-number/
1540. Can Convert String in K Moves,33.40%,Medium,https://leetcode.com/problems/can-convert-string-in-k-moves/
1541. Minimum Insertions to Balance a Parentheses String,49.70%,Medium,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/
1542. Find Longest Awesome Substring,41.70%,Hard,https://leetcode.com/problems/find-longest-awesome-substring/
1543. Fix Product Name Format,60.40%,Easy,https://leetcode.com/problems/fix-product-name-format/
1544. Make The String Great,63.20%,Easy,https://leetcode.com/problems/make-the-string-great/
1545. Find Kth Bit in Nth Binary String,58.60%,Medium,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string/
1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,47.30%,Medium,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/
1547. Minimum Cost to Cut a Stick,56.90%,Hard,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/
1548. The Most Similar Path in a Graph,58.90%,Hard,https://leetcode.com/problems/the-most-similar-path-in-a-graph/
1549. The Most Recent Orders for Each Product,66.90%,Medium,https://leetcode.com/problems/the-most-recent-orders-for-each-product/
1550. Three Consecutive Odds,63.40%,Easy,https://leetcode.com/problems/three-consecutive-odds/
1551. Minimum Operations to Make Array Equal,81.60%,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal/
1552. Magnetic Force Between Two Balls,58.40%,Medium,https://leetcode.com/problems/magnetic-force-between-two-balls/
1553. Minimum Number of Days to Eat N Oranges,34.70%,Hard,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges/
1554. Strings Differ by One Character,42.40%,Medium,https://leetcode.com/problems/strings-differ-by-one-character/
1555. Bank Account Summary,51.90%,Medium,https://leetcode.com/problems/bank-account-summary/
1556. Thousand Separator,54.40%,Easy,https://leetcode.com/problems/thousand-separator/
1557. Minimum Number of Vertices to Reach All Nodes,81.50%,Medium,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes/
1558. Minimum Numbers of Function Calls to Make Target Array,63.80%,Medium,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array/
1559. Detect Cycles in 2D Grid,48.10%,Medium,https://leetcode.com/problems/detect-cycles-in-2d-grid/
1560. Most Visited Sector in a Circular Track,58.60%,Easy,https://leetcode.com/problems/most-visited-sector-in-a-circular-track/
1561. Maximum Number of Coins You Can Get,79.20%,Medium,https://leetcode.com/problems/maximum-number-of-coins-you-can-get/
1562. Find Latest Group of Size M,42.90%,Medium,https://leetcode.com/problems/find-latest-group-of-size-m/
1563. Stone Game V,40.30%,Hard,https://leetcode.com/problems/stone-game-v/
1564. Put Boxes Into the Warehouse I,67.00%,Medium,https://leetcode.com/problems/put-boxes-into-the-warehouse-i/
1565. Unique Orders and Customers Per Month,82.70%,Easy,https://leetcode.com/problems/unique-orders-and-customers-per-month/
1566. Detect Pattern of Length M Repeated K or More Times,43.30%,Easy,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/
1567. Maximum Length of Subarray With Positive Product,44.10%,Medium,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/
1568. Minimum Number of Days to Disconnect Island,46.30%,Hard,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island/
1569. Number of Ways to Reorder Array to Get Same BST,47.70%,Hard,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/
1570. Dot Product of Two Sparse Vectors,90.30%,Medium,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/
1571. Warehouse Manager,88.50%,Easy,https://leetcode.com/problems/warehouse-manager/
1572. Matrix Diagonal Sum,82.80%,Easy,https://leetcode.com/problems/matrix-diagonal-sum/
1573. Number of Ways to Split a String,32.40%,Medium,https://leetcode.com/problems/number-of-ways-to-split-a-string/
1574. Shortest Subarray to be Removed to Make Array Sorted,37.40%,Medium,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/
1575. Count All Possible Routes,56.80%,Hard,https://leetcode.com/problems/count-all-possible-routes/
1576. Replace All ?'s to Avoid Consecutive Repeating Characters,47.80%,Easy,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters/
1577. Number of Ways Where Square of Number Is Equal to Product of Two Numbers,40.20%,Medium,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers/
1578. Minimum Time to Make Rope Colorful,63.30%,Medium,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/
1579. Remove Max Number of Edges to Keep Graph Fully Traversable,65.50%,Hard,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/
1580. Put Boxes Into the Warehouse II,63.70%,Medium,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii/
1581. Customer Who Visited but Did Not Make Any Transactions,82.80%,Easy,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/
1582. Special Positions in a Binary Matrix,65.20%,Easy,https://leetcode.com/problems/special-positions-in-a-binary-matrix/
1583. Count Unhappy Friends,61.10%,Medium,https://leetcode.com/problems/count-unhappy-friends/
1584. Min Cost to Connect All Points,64.00%,Medium,https://leetcode.com/problems/min-cost-to-connect-all-points/
1585. Check If String Is Transformable With Substring Sort Operations,47.60%,Hard,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/
1586. Binary Search Tree Iterator II,70.60%,Medium,https://leetcode.com/problems/binary-search-tree-iterator-ii/
1587. Bank Account Summary II,85.10%,Easy,https://leetcode.com/problems/bank-account-summary-ii/
1588. Sum of All Odd Length Subarrays,83.30%,Easy,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/
1589. Maximum Sum Obtained of Any Permutation,37.30%,Medium,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation/
1590. Make Sum Divisible by P,27.90%,Medium,https://leetcode.com/problems/make-sum-divisible-by-p/
1591. Strange Printer II,58.70%,Hard,https://leetcode.com/problems/strange-printer-ii/
1592. Rearrange Spaces Between Words,43.40%,Easy,https://leetcode.com/problems/rearrange-spaces-between-words/
1593. Split a String Into the Max Number of Unique Substrings,55.40%,Medium,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/
1594. Maximum Non Negative Product in a Matrix,33.10%,Medium,https://leetcode.com/problems/maximum-non-negative-product-in-a-matrix/
1595. Minimum Cost to Connect Two Groups of Points,46.80%,Hard,https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/
1596. The Most Frequently Ordered Products for Each Customer,82.70%,Medium,https://leetcode.com/problems/the-most-frequently-ordered-products-for-each-customer/
1597. Build Binary Expression Tree From Infix Expression,62.70%,Hard,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression/
1598. Crawler Log Folder,64.60%,Easy,https://leetcode.com/problems/crawler-log-folder/
1599. Maximum Profit of Operating a Centennial Wheel,43.70%,Medium,https://leetcode.com/problems/maximum-profit-of-operating-a-centennial-wheel/
1600. Throne Inheritance,63.70%,Medium,https://leetcode.com/problems/throne-inheritance/
1601. Maximum Number of Achievable Transfer Requests,51.10%,Hard,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/
1602. Find Nearest Right Node in Binary Tree,75.60%,Medium,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree/
1603. Design Parking System,87.80%,Easy,https://leetcode.com/problems/design-parking-system/
1604. Alert Using Same Key-Card Three or More Times in a One Hour Period,46.40%,Medium,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/
1605. Find Valid Matrix Given Row and Column Sums,77.80%,Medium,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums/
1606. Find Servers That Handled Most Number of Requests,43.10%,Hard,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests/
1607. Sellers With No Sales,54.60%,Easy,https://leetcode.com/problems/sellers-with-no-sales/
1608. Special Array With X Elements Greater Than or Equal X,60.40%,Easy,https://leetcode.com/problems/special-array-with-x-elements-greater-than-or-equal-x/
1609. Even Odd Tree,54.60%,Medium,https://leetcode.com/problems/even-odd-tree/
1610. Maximum Number of Visible Points,37.20%,Hard,https://leetcode.com/problems/maximum-number-of-visible-points/
1611. Minimum One Bit Operations to Make Integers Zero,63.40%,Hard,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/
1612. Check If Two Expression Trees are Equivalent,70.20%,Medium,https://leetcode.com/problems/check-if-two-expression-trees-are-equivalent/
1613. Find the Missing IDs,74.60%,Medium,https://leetcode.com/problems/find-the-missing-ids/
1614. Maximum Nesting Depth of the Parentheses,82.00%,Easy,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/
1615. Maximal Network Rank,58.80%,Medium,https://leetcode.com/problems/maximal-network-rank/
1616. Split Two Strings to Make Palindrome,31.20%,Medium,https://leetcode.com/problems/split-two-strings-to-make-palindrome/
1617. Count Subtrees With Max Distance Between Cities,65.90%,Hard,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities/
1618. Maximum Font to Fit a Sentence in a Screen,60.00%,Medium,https://leetcode.com/problems/maximum-font-to-fit-a-sentence-in-a-screen/
1619. Mean of Array After Removing Some Elements,66.10%,Easy,https://leetcode.com/problems/mean-of-array-after-removing-some-elements/
1620. Coordinate With Maximum Network Quality,37.50%,Medium,https://leetcode.com/problems/coordinate-with-maximum-network-quality/
1621. Number of Sets of K Non-Overlapping Line Segments,42.30%,Medium,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments/
1622. Fancy Sequence,16.30%,Hard,https://leetcode.com/problems/fancy-sequence/
1623. All Valid Triplets That Can Represent a Country,86.30%,Easy,https://leetcode.com/problems/all-valid-triplets-that-can-represent-a-country/
1624. Largest Substring Between Two Equal Characters,59.10%,Easy,https://leetcode.com/problems/largest-substring-between-two-equal-characters/
1625. Lexicographically Smallest String After Applying Operations,65.60%,Medium,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations/
