Questions,Acceptance Rate,Difficulty,Links,Liked,Leetcode Tags,Premium
1449. Form Largest Integer With Digits That Add up to Target,47.70%,Hard,https://leetcode.com/problems/form-largest-integer-with-digits-that-add-up-to-target/,,,True
1450. Number of Students Doing Homework at a Given Time,75.80%,Easy,https://leetcode.com/problems/number-of-students-doing-homework-at-a-given-time/,,,True
1451. Rearrange Words in a Sentence,63.30%,Medium,https://leetcode.com/problems/rearrange-words-in-a-sentence/,,,True
1452. People Whose List of Favorite Companies Is Not a Subset of Another List,56.90%,Medium,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list/,,,True
1453. Maximum Number of Darts Inside of a Circular Dartboard,36.60%,Hard,https://leetcode.com/problems/maximum-number-of-darts-inside-of-a-circular-dartboard/,,,True
1454. Active Users,37.50%,Medium,https://leetcode.com/problems/active-users/,,,True
1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.20%,Easy,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence/,722,"String,String Matching",
1456. Maximum Number of Vowels in a Substring of Given Length,59.00%,Medium,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,2.6K,"String,Sliding Window",
1457. Pseudo-Palindromic Paths in a Binary Tree,67.70%,Medium,https://leetcode.com/problems/pseudo-palindromic-paths-in-a-binary-tree/,,,True
1458. Max Dot Product of Two Subsequences,46.80%,Hard,https://leetcode.com/problems/max-dot-product-of-two-subsequences/,,,True
1459. Rectangles Area,69.00%,Medium,https://leetcode.com/problems/rectangles-area/,,,True
1460. Make Two Arrays Equal by Reversing Subarrays,72.00%,Easy,https://leetcode.com/problems/make-two-arrays-equal-by-reversing-subarrays/,,,True
1461. Check If a String Contains All Binary Codes of Size K,56.50%,Medium,https://leetcode.com/problems/check-if-a-string-contains-all-binary-codes-of-size-k/,,,True
1462. Course Schedule IV,49.10%,Medium,https://leetcode.com/problems/course-schedule-iv/,,,True
1463. Cherry Pickup II,69.50%,Hard,https://leetcode.com/problems/cherry-pickup-ii/,,,True
1464. Maximum Product of Two Elements in an Array,80.10%,Easy,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/,,,True
1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,40.90%,Medium,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/,,,True
1466. Reorder Routes to Make All Paths Lead to the City Zero,66.60%,Medium,https://leetcode.com/problems/reorder-routes-to-make-all-paths-lead-to-the-city-zero/,,,True
1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,60.40%,Hard,https://leetcode.com/problems/probability-of-a-two-boxes-having-the-same-number-of-distinct-balls/,,,True
1468. Calculate Salaries,80.30%,Medium,https://leetcode.com/problems/calculate-salaries/,,,True
1469. Find All The Lonely Nodes,82.30%,Easy,https://leetcode.com/problems/find-all-the-lonely-nodes/,,,True
1470. Shuffle the Array,88.80%,Easy,https://leetcode.com/problems/shuffle-the-array/,,,True
1471. The k Strongest Values in an Array,60.50%,Medium,https://leetcode.com/problems/the-k-strongest-values-in-an-array/,,,True
1472. Design Browser History,78.10%,Medium,https://leetcode.com/problems/design-browser-history/,3.3K,"Array,Linked List,Stack,Design,Doubly-Linked List,Data Stream",
1473. Paint House III,61.50%,Hard,https://leetcode.com/problems/paint-house-iii/,1.9K,"Array,Dynamic Programming",
1474. Delete N Nodes After M Nodes of a Linked List,73.30%,Easy,https://leetcode.com/problems/delete-n-nodes-after-m-nodes-of-a-linked-list/,,,True
1475. Final Prices With a Special Discount in a Shop,76.20%,Easy,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop/,,,True
1476. Subrectangle Queries,88.30%,Medium,https://leetcode.com/problems/subrectangle-queries/,,,True
1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,36.70%,Medium,https://leetcode.com/problems/find-two-non-overlapping-sub-arrays-each-with-target-sum/,1.5K,"Array,Hash Table,Binary Search,Dynamic Programming,Sliding Window",
1478. Allocate Mailboxes,55.60%,Hard,https://leetcode.com/problems/allocate-mailboxes/,,,True
1479. Sales by Day of the Week,80.30%,Hard,https://leetcode.com/problems/sales-by-day-of-the-week/,,,True
1480. Running Sum of 1d Array,87.20%,Easy,https://leetcode.com/problems/running-sum-of-1d-array/,,,True
1481. Least Number of Unique Integers after K Removals,55.60%,Medium,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,,,True
1482. Minimum Number of Days to Make m Bouquets,53.80%,Medium,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,2.6K,"Array,Binary Search",
1483. Kth Ancestor of a Tree Node,33.80%,Hard,https://leetcode.com/problems/kth-ancestor-of-a-tree-node/,,,True
1484. Group Sold Products By The Date,78.50%,Easy,https://leetcode.com/problems/group-sold-products-by-the-date/,1K,Database,
1485. Clone Binary Tree With Random Pointer,80.60%,Medium,https://leetcode.com/problems/clone-binary-tree-with-random-pointer/,,,True
1486. XOR Operation in an Array,84.80%,Easy,https://leetcode.com/problems/xor-operation-in-an-array/,,,True
1487. Making File Names Unique,36.30%,Medium,https://leetcode.com/problems/making-file-names-unique/,,,True
1488. Avoid Flood in The City,26.50%,Medium,https://leetcode.com/problems/avoid-flood-in-the-city/,,,True
1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,52.60%,Hard,https://leetcode.com/problems/find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree/,,,True
1490. Clone N-ary Tree,83.50%,Medium,https://leetcode.com/problems/clone-n-ary-tree/,,,True
1491. Average Salary Excluding the Minimum and Maximum Salary,63.70%,Easy,https://leetcode.com/problems/average-salary-excluding-the-minimum-and-maximum-salary/,,,True
1492. The kth Factor of n,63.70%,Medium,https://leetcode.com/problems/the-kth-factor-of-n/,,,True
1493. Longest Subarray of 1's After Deleting One Element,60.90%,Medium,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element/,,,True
1494. Parallel Courses II,30.30%,Hard,https://leetcode.com/problems/parallel-courses-ii/,825,"Dynamic Programming,Bit Manipulation,Graph,Bitmask",
1495. Friendly Movies Streamed Last Month,49.20%,Easy,https://leetcode.com/problems/friendly-movies-streamed-last-month/,,,True
1496. Path Crossing,56.00%,Easy,https://leetcode.com/problems/path-crossing/,,,True
1497. Check If Array Pairs Are Divisible by k,38.90%,Medium,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k/,1.5K,"Array,Hash Table,Counting",
1498. Number of Subsequences That Satisfy the Given Sum Condition,44.90%,Medium,https://leetcode.com/problems/number-of-subsequences-that-satisfy-the-given-sum-condition/,,,True
1499. Max Value of Equation,45.50%,Hard,https://leetcode.com/problems/max-value-of-equation/,1.2K,"Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue",
1500. Design a File Sharing System,44.30%,Medium,https://leetcode.com/problems/design-a-file-sharing-system/,,,True
1501. Countries You Can Safely Invest In,51.20%,Medium,https://leetcode.com/problems/countries-you-can-safely-invest-in/,,,True
1502. Can Make Arithmetic Progression From Sequence,67.60%,Easy,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence/,1.1K,"Array,Sorting",
1503. Last Moment Before All Ants Fall Out of a Plank,55.90%,Medium,https://leetcode.com/problems/last-moment-before-all-ants-fall-out-of-a-plank/,438,"Array,Brainteaser,Simulation",
1504. Count Submatrices With All Ones,57.40%,Medium,https://leetcode.com/problems/count-submatrices-with-all-ones/,,,True
1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,38.40%,Hard,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits/,,,True
1506. Find Root of N-Ary Tree,78.50%,Medium,https://leetcode.com/problems/find-root-of-n-ary-tree/,,,True
1507. Reformat Date,63.40%,Easy,https://leetcode.com/problems/reformat-date/,,,True
1508. Range Sum of Sorted Subarray Sums,59.00%,Medium,https://leetcode.com/problems/range-sum-of-sorted-subarray-sums/,,,True
1509. Minimum Difference Between Largest and Smallest Value in Three Moves,54.60%,Medium,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/,1.4K,"Array,Greedy,Sorting",
1510. Stone Game IV,60.10%,Hard,https://leetcode.com/problems/stone-game-iv/,1.4K,"Math,Dynamic Programming,Game Theory",
1511. Customer Order Frequency,71.00%,Easy,https://leetcode.com/problems/customer-order-frequency/,,,True
1512. Number of Good Pairs,88.20%,Easy,https://leetcode.com/problems/number-of-good-pairs/,3.9K,"Array,Hash Table,Math,Counting",
1513. Number of Substrings With Only 1s,45.40%,Medium,https://leetcode.com/problems/number-of-substrings-with-only-1s/,733,"Math,String",
1514. Path with Maximum Probability,48.90%,Medium,https://leetcode.com/problems/path-with-maximum-probability/,1.8K,"Array,Graph,Heap (Priority Queue),Shortest Path",
1515. Best Position for a Service Centre,37.30%,Hard,https://leetcode.com/problems/best-position-for-a-service-centre/,,,True
1516. Move Sub-Tree of N-Ary Tree,63.30%,Hard,https://leetcode.com/problems/move-sub-tree-of-n-ary-tree/,,,True
1517. Find Users With Valid E-Mails,50.80%,Easy,https://leetcode.com/problems/find-users-with-valid-e-mails/,,,True
1518. Water Bottles,60.40%,Easy,https://leetcode.com/problems/water-bottles/,,,True
1519. Number of Nodes in the Sub-Tree With the Same Label,55.30%,Medium,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label/,,,True
1520. Maximum Number of Non-Overlapping Substrings,38.00%,Hard,https://leetcode.com/problems/maximum-number-of-non-overlapping-substrings/,682,"String,Greedy",
1521. Find a Value of a Mysterious Function Closest to Target,43.40%,Hard,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target/,,,True
1522. Diameter of N-Ary Tree,73.60%,Medium,https://leetcode.com/problems/diameter-of-n-ary-tree/,,,True
1523. Count Odd Numbers in an Interval Range,49.40%,Easy,https://leetcode.com/problems/count-odd-numbers-in-an-interval-range/,,,True
1524. Number of Sub-arrays With Odd Sum,43.20%,Medium,https://leetcode.com/problems/number-of-sub-arrays-with-odd-sum/,1.2K,"Array,Math,Dynamic Programming,Prefix Sum",
1525. Number of Good Ways to Split a String,68.80%,Medium,https://leetcode.com/problems/number-of-good-ways-to-split-a-string/,,,True
1526. Minimum Number of Increments on Subarrays to Form a Target Array,68.90%,Hard,https://leetcode.com/problems/minimum-number-of-increments-on-subarrays-to-form-a-target-array/,,,True
1527. Patients With a Condition,40.30%,Easy,https://leetcode.com/problems/patients-with-a-condition/,,,True
1528. Shuffle String,85.00%,Easy,https://leetcode.com/problems/shuffle-string/,,,True
1529. Minimum Suffix Flips,72.60%,Medium,https://leetcode.com/problems/minimum-suffix-flips/,,,True
1530. Number of Good Leaf Nodes Pairs,61.20%,Medium,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,,,True
1531. String Compression II,49.40%,Hard,https://leetcode.com/problems/string-compression-ii/,,,True
1532. The Most Recent Three Orders,69.50%,Medium,https://leetcode.com/problems/the-most-recent-three-orders/,,,True
1533. Find the Index of the Large Integer,56.10%,Medium,https://leetcode.com/problems/find-the-index-of-the-large-integer/,,,True
1534. Count Good Triplets,80.90%,Easy,https://leetcode.com/problems/count-good-triplets/,649,"Array,Enumeration",
1535. Find the Winner of an Array Game,48.50%,Medium,https://leetcode.com/problems/find-the-winner-of-an-array-game/,,,True
1536. Minimum Swaps to Arrange a Binary Grid,46.40%,Medium,https://leetcode.com/problems/minimum-swaps-to-arrange-a-binary-grid/,,,True
1537. Get the Maximum Score,39.30%,Hard,https://leetcode.com/problems/get-the-maximum-score/,832,"Array,Two Pointers,Dynamic Programming,Greedy",
1538. Guess the Majority in a Hidden Array,71.10%,Medium,https://leetcode.com/problems/guess-the-majority-in-a-hidden-array/,,,True
1539. Kth Missing Positive Number,58.60%,Easy,https://leetcode.com/problems/kth-missing-positive-number/,5.3K,"Array,Binary Search",
1540. Can Convert String in K Moves,33.40%,Medium,https://leetcode.com/problems/can-convert-string-in-k-moves/,,,True
1541. Minimum Insertions to Balance a Parentheses String,49.70%,Medium,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string/,,,True
1542. Find Longest Awesome Substring,41.70%,Hard,https://leetcode.com/problems/find-longest-awesome-substring/,,,True
1543. Fix Product Name Format,60.40%,Easy,https://leetcode.com/problems/fix-product-name-format/,,,True
1544. Make The String Great,63.20%,Easy,https://leetcode.com/problems/make-the-string-great/,,,True
1545. Find Kth Bit in Nth Binary String,58.60%,Medium,https://leetcode.com/problems/find-kth-bit-in-nth-binary-string/,,,True
1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,47.30%,Medium,https://leetcode.com/problems/maximum-number-of-non-overlapping-subarrays-with-sum-equals-target/,,,True
1547. Minimum Cost to Cut a Stick,56.90%,Hard,https://leetcode.com/problems/minimum-cost-to-cut-a-stick/,2.7K,"Array,Dynamic Programming,Sorting",
1548. The Most Similar Path in a Graph,58.90%,Hard,https://leetcode.com/problems/the-most-similar-path-in-a-graph/,,,True
1549. The Most Recent Orders for Each Product,66.90%,Medium,https://leetcode.com/problems/the-most-recent-orders-for-each-product/,,,True
1550. Three Consecutive Odds,63.40%,Easy,https://leetcode.com/problems/three-consecutive-odds/,,,True
1551. Minimum Operations to Make Array Equal,81.60%,Medium,https://leetcode.com/problems/minimum-operations-to-make-array-equal/,1.3K,Math,
1552. Magnetic Force Between Two Balls,58.40%,Medium,https://leetcode.com/problems/magnetic-force-between-two-balls/,1.8K,"Array,Binary Search,Sorting",
1553. Minimum Number of Days to Eat N Oranges,34.70%,Hard,https://leetcode.com/problems/minimum-number-of-days-to-eat-n-oranges/,,,True
1554. Strings Differ by One Character,42.40%,Medium,https://leetcode.com/problems/strings-differ-by-one-character/,,,True
1555. Bank Account Summary,51.90%,Medium,https://leetcode.com/problems/bank-account-summary/,,,True
1556. Thousand Separator,54.40%,Easy,https://leetcode.com/problems/thousand-separator/,,,True
1557. Minimum Number of Vertices to Reach All Nodes,81.50%,Medium,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes/,,,True
1558. Minimum Numbers of Function Calls to Make Target Array,63.80%,Medium,https://leetcode.com/problems/minimum-numbers-of-function-calls-to-make-target-array/,,,True
1559. Detect Cycles in 2D Grid,48.10%,Medium,https://leetcode.com/problems/detect-cycles-in-2d-grid/,,,True
1560. Most Visited Sector in a Circular Track,58.60%,Easy,https://leetcode.com/problems/most-visited-sector-in-a-circular-track/,,,True
1561. Maximum Number of Coins You Can Get,79.20%,Medium,https://leetcode.com/problems/maximum-number-of-coins-you-can-get/,,,True
1562. Find Latest Group of Size M,42.90%,Medium,https://leetcode.com/problems/find-latest-group-of-size-m/,,,True
1563. Stone Game V,40.30%,Hard,https://leetcode.com/problems/stone-game-v/,520,"Array,Math,Dynamic Programming,Game Theory",
1564. Put Boxes Into the Warehouse I,67.00%,Medium,https://leetcode.com/problems/put-boxes-into-the-warehouse-i/,,,True
1565. Unique Orders and Customers Per Month,82.70%,Easy,https://leetcode.com/problems/unique-orders-and-customers-per-month/,,,True
1566. Detect Pattern of Length M Repeated K or More Times,43.30%,Easy,https://leetcode.com/problems/detect-pattern-of-length-m-repeated-k-or-more-times/,600,"Array,Enumeration",
1567. Maximum Length of Subarray With Positive Product,44.10%,Medium,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product/,,,True
1568. Minimum Number of Days to Disconnect Island,46.30%,Hard,https://leetcode.com/problems/minimum-number-of-days-to-disconnect-island/,565,"Array,Depth-First Search,Breadth-First Search,Matrix,Strongly Connected Component",
1569. Number of Ways to Reorder Array to Get Same BST,47.70%,Hard,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/,,,True
1570. Dot Product of Two Sparse Vectors,90.30%,Medium,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,,,True
1571. Warehouse Manager,88.50%,Easy,https://leetcode.com/problems/warehouse-manager/,,,True
1572. Matrix Diagonal Sum,82.80%,Easy,https://leetcode.com/problems/matrix-diagonal-sum/,2.9K,"Array,Matrix",
1573. Number of Ways to Split a String,32.40%,Medium,https://leetcode.com/problems/number-of-ways-to-split-a-string/,640,"Math,String",
1574. Shortest Subarray to be Removed to Make Array Sorted,37.40%,Medium,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/,,,True
1575. Count All Possible Routes,56.80%,Hard,https://leetcode.com/problems/count-all-possible-routes/,,,True
1576. Replace All ?'s to Avoid Consecutive Repeating Characters,47.80%,Easy,https://leetcode.com/problems/replace-all-s-to-avoid-consecutive-repeating-characters/,,,True
1577. Number of Ways Where Square of Number Is Equal to Product of Two Numbers,40.20%,Medium,https://leetcode.com/problems/number-of-ways-where-square-of-number-is-equal-to-product-of-two-numbers/,,,True
1578. Minimum Time to Make Rope Colorful,63.30%,Medium,https://leetcode.com/problems/minimum-time-to-make-rope-colorful/,,,True
1579. Remove Max Number of Edges to Keep Graph Fully Traversable,65.50%,Hard,https://leetcode.com/problems/remove-max-number-of-edges-to-keep-graph-fully-traversable/,,,True
1580. Put Boxes Into the Warehouse II,63.70%,Medium,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii/,,,True
1581. Customer Who Visited but Did Not Make Any Transactions,82.80%,Easy,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/,602,Database,
1582. Special Positions in a Binary Matrix,65.20%,Easy,https://leetcode.com/problems/special-positions-in-a-binary-matrix/,629,"Array,Matrix",
1583. Count Unhappy Friends,61.10%,Medium,https://leetcode.com/problems/count-unhappy-friends/,,,True
1584. Min Cost to Connect All Points,64.00%,Medium,https://leetcode.com/problems/min-cost-to-connect-all-points/,3.6K,"Array,Union Find,Graph,Minimum Spanning Tree",
1585. Check If String Is Transformable With Substring Sort Operations,47.60%,Hard,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/,,,True
1586. Binary Search Tree Iterator II,70.60%,Medium,https://leetcode.com/problems/binary-search-tree-iterator-ii/,,,True
1587. Bank Account Summary II,85.10%,Easy,https://leetcode.com/problems/bank-account-summary-ii/,,,True
1588. Sum of All Odd Length Subarrays,83.30%,Easy,https://leetcode.com/problems/sum-of-all-odd-length-subarrays/,,,True
1589. Maximum Sum Obtained of Any Permutation,37.30%,Medium,https://leetcode.com/problems/maximum-sum-obtained-of-any-permutation/,,,True
1590. Make Sum Divisible by P,27.90%,Medium,https://leetcode.com/problems/make-sum-divisible-by-p/,1.3K,"Array,Hash Table,Prefix Sum",
1591. Strange Printer II,58.70%,Hard,https://leetcode.com/problems/strange-printer-ii/,518,"Array,Graph,Topological Sort,Matrix",
1592. Rearrange Spaces Between Words,43.40%,Easy,https://leetcode.com/problems/rearrange-spaces-between-words/,375,String,
1593. Split a String Into the Max Number of Unique Substrings,55.40%,Medium,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/,,,True
1594. Maximum Non Negative Product in a Matrix,33.10%,Medium,https://leetcode.com/problems/maximum-non-negative-product-in-a-matrix/,,,True
1595. Minimum Cost to Connect Two Groups of Points,46.80%,Hard,https://leetcode.com/problems/minimum-cost-to-connect-two-groups-of-points/,,,True
1596. The Most Frequently Ordered Products for Each Customer,82.70%,Medium,https://leetcode.com/problems/the-most-frequently-ordered-products-for-each-customer/,,,True
1597. Build Binary Expression Tree From Infix Expression,62.70%,Hard,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression/,,,True
1598. Crawler Log Folder,64.60%,Easy,https://leetcode.com/problems/crawler-log-folder/,793,"Array,String,Stack",
1599. Maximum Profit of Operating a Centennial Wheel,43.70%,Medium,https://leetcode.com/problems/maximum-profit-of-operating-a-centennial-wheel/,,,True
1600. Throne Inheritance,63.70%,Medium,https://leetcode.com/problems/throne-inheritance/,233,"Hash Table,Tree,Depth-First Search,Design",
1601. Maximum Number of Achievable Transfer Requests,51.10%,Hard,https://leetcode.com/problems/maximum-number-of-achievable-transfer-requests/,,,True
1602. Find Nearest Right Node in Binary Tree,75.60%,Medium,https://leetcode.com/problems/find-nearest-right-node-in-binary-tree/,,,True
1603. Design Parking System,87.80%,Easy,https://leetcode.com/problems/design-parking-system/,,,True
1604. Alert Using Same Key-Card Three or More Times in a One Hour Period,46.40%,Medium,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period/,,,True
1605. Find Valid Matrix Given Row and Column Sums,77.80%,Medium,https://leetcode.com/problems/find-valid-matrix-given-row-and-column-sums/,1.3K,"Array,Greedy,Matrix",
1606. Find Servers That Handled Most Number of Requests,43.10%,Hard,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests/,509,"Array,Greedy,Heap (Priority Queue),Ordered Set",
1607. Sellers With No Sales,54.60%,Easy,https://leetcode.com/problems/sellers-with-no-sales/,,,True
1608. Special Array With X Elements Greater Than or Equal X,60.40%,Easy,https://leetcode.com/problems/special-array-with-x-elements-greater-than-or-equal-x/,,,True
1609. Even Odd Tree,54.60%,Medium,https://leetcode.com/problems/even-odd-tree/,,,True
1610. Maximum Number of Visible Points,37.20%,Hard,https://leetcode.com/problems/maximum-number-of-visible-points/,,,True
1611. Minimum One Bit Operations to Make Integers Zero,63.40%,Hard,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/,393,"Dynamic Programming,Bit Manipulation,Memoization",
1612. Check If Two Expression Trees are Equivalent,70.20%,Medium,https://leetcode.com/problems/check-if-two-expression-trees-are-equivalent/,,,True
1613. Find the Missing IDs,74.60%,Medium,https://leetcode.com/problems/find-the-missing-ids/,,,True
1614. Maximum Nesting Depth of the Parentheses,82.00%,Easy,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,1.5K,"String,Stack",
1615. Maximal Network Rank,58.80%,Medium,https://leetcode.com/problems/maximal-network-rank/,,,True
1616. Split Two Strings to Make Palindrome,31.20%,Medium,https://leetcode.com/problems/split-two-strings-to-make-palindrome/,,,True
1617. Count Subtrees With Max Distance Between Cities,65.90%,Hard,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities/,451,"Dynamic Programming,Bit Manipulation,Tree,Enumeration,Bitmask",
1618. Maximum Font to Fit a Sentence in a Screen,60.00%,Medium,https://leetcode.com/problems/maximum-font-to-fit-a-sentence-in-a-screen/,,,True
1619. Mean of Array After Removing Some Elements,66.10%,Easy,https://leetcode.com/problems/mean-of-array-after-removing-some-elements/,,,True
1620. Coordinate With Maximum Network Quality,37.50%,Medium,https://leetcode.com/problems/coordinate-with-maximum-network-quality/,,,True
1621. Number of Sets of K Non-Overlapping Line Segments,42.30%,Medium,https://leetcode.com/problems/number-of-sets-of-k-non-overlapping-line-segments/,,,True
1622. Fancy Sequence,16.30%,Hard,https://leetcode.com/problems/fancy-sequence/,,,True
1623. All Valid Triplets That Can Represent a Country,86.30%,Easy,https://leetcode.com/problems/all-valid-triplets-that-can-represent-a-country/,,,True
1624. Largest Substring Between Two Equal Characters,59.10%,Easy,https://leetcode.com/problems/largest-substring-between-two-equal-characters/,,,True
1625. Lexicographically Smallest String After Applying Operations,65.60%,Medium,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations/,,,True
1626. Best Team With No Conflicts,51.10%,Medium,https://leetcode.com/problems/best-team-with-no-conflicts/,,,True
1627. Graph Connectivity With Threshold,46.40%,Hard,https://leetcode.com/problems/graph-connectivity-with-threshold/,,,True
1628. Design an Expression Tree With Evaluate Function,82.80%,Medium,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function/,,,True
1629. Slowest Key,59.10%,Easy,https://leetcode.com/problems/slowest-key/,,,True
1630. Arithmetic Subarrays,80.40%,Medium,https://leetcode.com/problems/arithmetic-subarrays/,998,"Array,Sorting",
1631. Path With Minimum Effort,55.80%,Medium,https://leetcode.com/problems/path-with-minimum-effort/,4.3K,"Array,Binary Search,Depth-First Search,Breadth-First Search,Union Find,Heap (Priority Queue),Matrix",
1632. Rank Transform of a Matrix,40.90%,Hard,https://leetcode.com/problems/rank-transform-of-a-matrix/,771,"Array,Greedy,Union Find,Graph,Topological Sort,Matrix",
1633. Percentage of Users Attended a Contest,64.10%,Easy,https://leetcode.com/problems/percentage-of-users-attended-a-contest/,137,Database,
1634. Add Two Polynomials Represented as Linked Lists,54.80%,Medium,https://leetcode.com/problems/add-two-polynomials-represented-as-linked-lists/,,,True
1635. Hopper Company Queries I,50.30%,Hard,https://leetcode.com/problems/hopper-company-queries-i/,,,True
1636. Sort Array by Increasing Frequency,69.70%,Easy,https://leetcode.com/problems/sort-array-by-increasing-frequency/,2.4K,"Array,Hash Table,Sorting",
1637. Widest Vertical Area Between Two Points Containing No Points,84.40%,Medium,https://leetcode.com/problems/widest-vertical-area-between-two-points-containing-no-points/,,,True
1638. Count Substrings That Differ by One Character,71.20%,Medium,https://leetcode.com/problems/count-substrings-that-differ-by-one-character/,1K,"Hash Table,String,Dynamic Programming",
1639. Number of Ways to Form a Target String Given a Dictionary,53.90%,Hard,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary/,,,True
1640. Check Array Formation Through Concatenation,56.30%,Easy,https://leetcode.com/problems/check-array-formation-through-concatenation/,,,True
1641. Count Sorted Vowel Strings,77.50%,Medium,https://leetcode.com/problems/count-sorted-vowel-strings/,,,True
1642. Furthest Building You Can Reach,48.30%,Medium,https://leetcode.com/problems/furthest-building-you-can-reach/,4.2K,"Array,Greedy,Heap (Priority Queue)",
1643. Kth Smallest Instructions,47.20%,Hard,https://leetcode.com/problems/kth-smallest-instructions/,,,True
1644. Lowest Common Ancestor of a Binary Tree II,60.10%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-ii/,,,True
1645. Hopper Company Queries II,38.70%,Hard,https://leetcode.com/problems/hopper-company-queries-ii/,,,True
1646. Get Maximum in Generated Array,50.20%,Easy,https://leetcode.com/problems/get-maximum-in-generated-array/,,,True
1647. Minimum Deletions to Make Character Frequencies Unique,59.00%,Medium,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/,3.4K,"Hash Table,String,Greedy,Sorting",
1648. Sell Diminishing-Valued Colored Balls,30.40%,Medium,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,974,"Array,Math,Binary Search,Greedy,Sorting,Heap (Priority Queue)",
1649. Create Sorted Array through Instructions,37.60%,Hard,https://leetcode.com/problems/create-sorted-array-through-instructions/,579,"Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set",
1650. Lowest Common Ancestor of a Binary Tree III,77.40%,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/,,,True
1651. Hopper Company Queries III,68.00%,Hard,https://leetcode.com/problems/hopper-company-queries-iii/,,,True
1652. Defuse the Bomb,62.60%,Easy,https://leetcode.com/problems/defuse-the-bomb/,627,Array,
1653. Minimum Deletions to Make String Balanced,58.90%,Medium,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/,1.1K,"String,Dynamic Programming,Stack",
1654. Minimum Jumps to Reach Home,29.20%,Medium,https://leetcode.com/problems/minimum-jumps-to-reach-home/,1.3K,"Array,Dynamic Programming,Breadth-First Search",
1655. Distribute Repeating Integers,39.40%,Hard,https://leetcode.com/problems/distribute-repeating-integers/,,,True
1656. Design an Ordered Stream,85.00%,Easy,https://leetcode.com/problems/design-an-ordered-stream/,414,"Array,Hash Table,Design,Data Stream",
1657. Determine if Two Strings Are Close,56.20%,Medium,https://leetcode.com/problems/determine-if-two-strings-are-close/,2.2K,"Hash Table,String,Sorting",
1658. Minimum Operations to Reduce X to Zero,37.60%,Medium,https://leetcode.com/problems/minimum-operations-to-reduce-x-to-zero/,4K,"Array,Hash Table,Binary Search,Sliding Window,Prefix Sum",
1659. Maximize Grid Happiness,38.90%,Hard,https://leetcode.com/problems/maximize-grid-happiness/,,,True
